exchange_symbol,close_price,highest_price,lowest_price,transactions,weighted_average,date
X:AUCTIONUSD,11.88,14.12,11.88,7709,12.5283,2022-04-29
X:XRPUSD,0.6117,0.64682,0.59847,18456,0.6142,2022-04-29
X:TRBUSD,16.22,18.04,16.11,832,16.9502,2022-04-29
X:GALAUSD,0.1553,0.17141,0.1517,35624,0.161,2022-04-29
X:ARPAUSD,0.0576,0.0622,0.0561,1286,0.0593,2022-04-29
X:AXSUSD,34.34,38.69,33.42,11776,35.2321,2022-04-29
X:KRLUSD,0.7956,0.8179,0.7901,1960,0.7982,2022-04-29
X:PAXUSD,0.99,1.0,0.99,146,0.9976,2022-04-29
X:BOSONUSD,0.66401,0.75107,0.64258,429,0.6911,2022-04-29
X:USDCUSD,0.9999,1.0,0.9999,5331,1.0,2022-04-29
X:BANDUSD,3.247,3.563,3.185,2544,3.3471,2022-04-29
X:CRPTUSD,0.3031,0.3319,0.2935,6169,0.3106,2022-04-29
X:PLAUSD,0.7785,0.8433,0.7759,3267,0.8022,2022-04-29
X:CLVUSD,0.2862,0.3077,0.2841,5470,0.2934,2022-04-29
X:JASMYUSD,0.018261,0.02024,0.01773,103791,0.0188,2022-04-29
X:BATUSD,0.63,0.663,0.613,5356,0.6339,2022-04-29
X:MANAUSD,1.669,1.816,1.616,41847,1.716,2022-04-29
X:OCEANUSD,0.44197,0.48702,0.43179,649,0.4523,2022-04-29
X:MKRUSD,1559.64,1657.05,1509.69,15794,1576.3393,2022-04-29
X:NEARUSD,11.296,12.54,11.141,995,11.6515,2022-04-29
X:BADGERUSD,7.92,8.75,7.87,3760,8.2463,2022-04-29
X:QRDOUSD,1.5324,1.7036,1.5164,915,1.5985,2022-04-29
X:ETCUSD,29.2,31.42,28.64,16342,30.1367,2022-04-29
X:CRVUSD,2.2325,2.428,2.2011,9812,2.2915,2022-04-29
X:COTIUSD,0.199,0.2216,0.1964,4162,0.2076,2022-04-29
X:SNTUSD,0.05776,0.059989,0.057115,1170,0.0584,2022-04-29
X:RNDRUSD,1.39,1.61,1.37,5049,1.4387,2022-04-29
X:UTKUSD,0.22255,0.23626,0.21999,623,0.2268,2022-04-29
X:YFIUSD,16934.38,18129.54,16379.51,11851,17241.0139,2022-04-29
X:FORTHUSD,4.84,5.267,4.81,1361,5.0007,2022-04-29
X:SUKUUSD,0.1877,0.2039,0.1837,3121,0.1914,2022-04-29
X:LTCBTC,0.002599,0.002624,0.002569,3493,0.0026,2022-04-29
X:REQUSD,0.1974,0.2069,0.1932,6701,0.1993,2022-04-29
X:BCHUSD,294.68,309.01,290.83,22021,300.1793,2022-04-29
X:ZECUSD,128.4,147.74,125.78,22265,135.2391,2022-04-29
X:BCHEUR,279.54,292.95,275.83,3372,285.0516,2022-04-29
X:XVGUSD,0.0087133,0.0093958,0.0085516,1925,0.009,2022-04-29
X:NUUSD,0.3492,0.3937,0.3443,6462,0.3663,2022-04-29
X:VSYUSD,0.0090001,0.011349,0.0090001,1690,0.0105,2022-04-29
X:QTUMUSD,5.79607,6.15189,5.7127,330,5.8305,2022-04-29
X:GNTUSD,0.37865,0.40087,0.375,728,0.3854,2022-04-29
X:XYOUSD,0.01566,0.0164,0.01536,8658,0.0158,2022-04-29
X:LPTUSD,23.44,24.7,22.98,1438,23.933,2022-04-29
X:GTCUSD,5.17,5.57,5.03,2112,5.2924,2022-04-29
X:CHZUSD,0.1902,0.2039,0.1857,5091,0.1945,2022-04-29
X:ANTUSD,3.5423,3.7435,3.5098,35,3.6344,2022-04-29
X:DASHUSD,92.04,99.69,90.45,5598,95.0089,2022-04-29
X:BCHGBP,234.17,246.7,231.48,1346,240.269,2022-04-29
X:DSHUSD,92.104,99.661,90.621,2007,94.117,2022-04-29
X:XMRUSD,220.79,236.0,217.0,7021,227.129,2022-04-29
X:FETUSD,0.2854,0.30927,0.2778,9072,0.2901,2022-04-29
X:STXUSD,1.01,1.1,0.99,3150,1.0195,2022-04-29
X:RENUSD,0.3148,0.3437,0.3086,4421,0.3235,2022-04-29
X:POLYUSD,0.3758,0.3933,0.3715,2189,0.3808,2022-04-29
X:SCUSD,0.00904,0.00967,0.00881,1359,0.0092,2022-04-29
X:WAVESUSD,14.1564,15.554,13.9445,1814,14.5949,2022-04-29
X:RLCUSD,1.64,1.81,1.6,2813,1.6941,2022-04-29
X:KAVAUSD,5.2282,5.6378,5.029,5134,5.3646,2022-04-29
X:KEEPUSD,0.4538,0.4947,0.4519,1996,0.4686,2022-04-29
X:NANOUSD,1.838082,1.964007,1.82736,1078,1.8622,2022-04-29
X:VETUSD,0.048503,0.051984,0.047547,1085,0.0493,2022-04-29
X:BTRSTUSD,3.74,3.93,3.71,920,3.8246,2022-04-29
X:GLMUSD,0.3746,0.3981,0.3733,1389,0.3811,2022-04-29
X:TRUUSD,0.185,0.1946,0.1828,1866,0.1885,2022-04-29
X:COVALUSD,0.0284,0.02967,0.02832,1919,0.029,2022-04-29
X:ZENUSD,30.78,33.48,30.1,890,31.3545,2022-04-29
X:OXYUSD,0.21775,0.22399,0.20451,576,0.2198,2022-04-29
X:ESSUSD,0.0010268,0.0010395,0.00094111,1883,0.001,2022-04-29
X:ALCXUSD,66.49,70.26,65.65,3164,67.6066,2022-04-29
X:CLOUSD,0.0060204,0.0062363,0.0058811,645,0.0061,2022-04-29
X:NCTUSD,0.02977,0.03573,0.02972,19093,0.0324,2022-04-29
X:XRAUSD,0.014186,0.01546,0.013913,859,0.0146,2022-04-29
X:BNTUSD,2.07,2.201,2.04,1620,2.114,2022-04-29
X:BTCAUD,54680.3,55956.1,53800.0,591,54977.5571,2022-04-29
X:IOTUSD,0.5735,0.61734,0.56389519,3244,0.5882,2022-04-29
X:UMAUSD,5.204,5.609,5.184,5724,5.3492,2022-04-29
X:QTMUSD,5.8219,6.1453,5.4,300,5.8979,2022-04-29
X:AVTUSD,1.98,2.2,1.86,5553,2.0263,2022-04-29
X:TRIBEUSD,0.4913,0.5018,0.4896,499,0.4936,2022-04-29
X:LSKUSD,1.940469,2.041915,1.905733,142,1.9521,2022-04-29
X:BSVUSD,75.914,79.662,75.204,1210,77.6288,2022-04-29
X:MNAUSD,1.6695,1.816,1.6203,814,1.6845,2022-04-29
X:FOXUSD,0.2636,0.2819,0.2614,1891,0.2704,2022-04-29
X:ZCNUSD,0.43078,0.45844,0.42512,534,0.4387,2022-04-29
X:YGGUSD,1.759,2.944,1.75,197,1.9405,2022-04-29
X:DNTUSD,0.0839,0.0946,0.083,3878,0.0872,2022-04-29
X:LOOMUSD,0.0779,0.0812,0.0772,1928,0.0792,2022-04-29
X:WBTCUSD,38609.16,39958.48,38193.98,989,38958.0763,2022-04-29
X:QUICKUSD,186.0,214.83,158.37,11630,183.9379,2022-04-29
X:EGLDUSD,134.53,147.69,131.46,971,137.8188,2022-04-29
X:SANDUSD,2.2988,2.5179,2.2318,1789,2.3657,2022-04-29
X:GNOUSD,316.12,331.11,316.1,162,323.5208,2022-04-29
X:MUSDUSD,0.9998,1.0005,0.9978,256,0.9995,2022-04-29
X:MIRUSD,1.124,1.18,1.089,4879,1.1229,2022-04-29
X:DDXUSD,2.1,2.25,2.07,1897,2.1642,2022-04-29
X:CTKUSD,1.0614,1.177,1.0328,431,1.1083,2022-04-29
X:ORNUSD,2.556,2.748,2.529,2273,2.6202,2022-04-29
X:MOBUSD,4.404,7.5307,3.5564,11627,5.6212,2022-04-29
X:ICXUSD,0.6818,0.7246,0.6693,194,0.7098,2022-04-29
X:BFTUSD,0.010491,0.011199,0.010277,511,0.0107,2022-04-29
X:CELUSD,2.065,2.1838,2.0576,330,2.1123,2022-04-29
X:SRMUSD,1.9869,2.1936,1.9662,139,2.0559,2022-04-29
X:FLOWUSD,4.924,5.316,4.816,2194,5.0983,2022-04-29
X:XRDUSD,0.11528,0.12495,0.115,1143,0.1206,2022-04-29
X:BTGUSD,29.8,33.0,29.543,63,30.4838,2022-04-29
X:PAXGUSD,1903.54,1925.0,1894.2,717,1905.988,2022-04-29
X:ZMTUSD,2.8503,2.9529,2.7234,5176,2.8359,2022-04-29
X:VEEUSD,0.00361,0.003712,0.00344,6,0.0035,2022-04-29
X:SANUSD,0.3147,0.34205,0.3147,21,0.3221,2022-04-29
X:INJUSD,3.934,4.284,3.876,89,4.0229,2022-04-29
X:RAIUSD,3.02,3.02,3.01,69,3.0121,2022-04-29
X:PASUSD,0.0015,0.00151,0.0015,31,0.0015,2022-04-29
X:ETHAUD,3982.16,4127.14,3925.04,288,3997.8309,2022-04-29
X:ODEUSD,0.000782,0.001232,0.00077001,48,0.001,2022-04-29
X:VELOUSD,0.043149,0.047746,0.043149,7,0.0444,2022-04-29
X:XDCUSD,0.06442,0.0645,0.05651,564,0.0629,2022-04-29
X:CHSBUSD,0.40499,0.42273,0.39896,446,0.4072,2022-04-29
X:HBARUSD,0.15928,0.1712,0.156,86,0.1596,2022-04-29
X:GOTUSD,0.10322,0.10941,0.10219,48,0.1062,2022-04-29
X:BOBAUSD,1.0622,1.134,1.0483,90,1.086,2022-04-29
